Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/08/11 07:10:00 PM,2018/08/11,19:10,2018,Saturday,2018/08/11 07:11:00 PM,70537704013,705377,180602295,180602295,II,Initial,,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/14 02:15:00 PM,2018/08/14,14:15,2018,Tuesday,2018/08/14 02:44:00 PM,70550127170,705501,189002400,189002400,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,04TH ST \ MISSION BAY BLVD,34172000,Southern,Mission Bay,6,37.770555975146884,-122.39115601762397,"(37.770555975146884, -122.39115601762397)"
2018/08/14 03:07:00 PM,2018/08/14,15:07,2018,Tuesday,2018/08/14 03:07:00 PM,70560506314,705605,180609984,180609984,II,Initial,,06314,Larceny Theft,Larceny Theft - Bicycle,"Theft, Bicycle, >$950",Cite or Arrest Adult,OWENS ST \ 16TH ST,23784000,Southern,Mission Bay,6,37.766691459464916,-122.3926618696727,"(37.766691459464916, -122.3926618696727)"
2018/08/14 03:07:00 PM,2018/08/14,15:07,2018,Tuesday,2018/08/14 03:07:00 PM,70560527130,705605,180609984,180609984,II,Initial,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,OWENS ST \ 16TH ST,23784000,Southern,Mission Bay,6,37.766691459464916,-122.3926618696727,"(37.766691459464916, -122.3926618696727)"
2018/08/10 05:20:00 AM,2018/08/10,05:20,2018,Friday,2018/08/10 05:20:00 AM,70585165015,705851,180597511,182220439,II,Initial,,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,SOUTH VAN NESS AVE \ 16TH ST,24142000,Mission,Mission,9,37.765183133520345,-122.41748659732667,"(37.765183133520345, -122.41748659732667)"
2018/08/19 11:20:00 PM,2018/08/19,23:20,2018,Sunday,2018/08/20 12:30:00 AM,71035327195,710353,180624885,182320202,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/21 10:43:00 AM,2018/08/21,10:43,2018,Tuesday,2018/08/21 10:43:00 AM,71037315150,710373,180628906,182331967,II,Initial,,15150,Offences Against The Family And Children,Other,"EPO or Restraining Order Violation, DVU related",Cite or Arrest Adult,TENNESSEE ST \ MARIPOSA ST,23651000,Southern,Potrero Hill,6,37.76426021440879,-122.38985196114861,"(37.76426021440879, -122.38985196114861)"
2018/08/15 04:40:00 PM,2018/08/15,16:40,2018,Wednesday,2018/08/16 09:30:00 AM,71038051040,710380,180615301,180615301,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,23RD ST \ MISSION ST,24094000,Mission,Mission,9,37.753836586731786,-122.41859394629981,"(37.753836586731786, -122.41859394629981)"
2018/08/17 11:17:00 PM,2018/08/17,23:17,2018,Friday,2018/08/17 11:17:00 PM,71044175000,710441,180620065,182294073,IS,Initial Supplement,,75000,Missing Person,Missing Person,Found Person,Open or Active,DEWEY BLVD \ LAGUNA HONDA BLVD,22865000,Park,West of Twin Peaks,7,37.74728631866501,-122.45917437674753,"(37.74728631866501, -122.45917437674753)"
2018/08/12 03:55:00 PM,2018/08/12,15:55,2018,Sunday,2018/08/19 03:55:00 PM,71046851041,710468,180623780,182312277,II,Initial,,51041,Non-Criminal,Non-Criminal,Aided Case -Property for Destruction,Open or Active,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/13 05:00:00 PM,2018/08/13,17:00,2018,Monday,2018/08/15 09:00:00 AM,71049164070,710491,180612197,182270934,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Out of SF,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/08/15 10:20:00 AM,2018/08/15,10:20,2018,Wednesday,2018/08/15 10:30:00 AM,71049303473,710493,180612460,182271280,II,Initial,,03473,Robbery,Robbery - Other,"Robbery, Att., W/ Other Weapon",Open or Active,BAY SHORE BLVD \ CESAR CHAVEZ ST,33283000,Mission,Bernal Heights,9,37.74897104640288,-122.40562695301617,"(37.74897104640288, -122.40562695301617)"
